reviewers,messages,len_messages,churn,revisions,files,duration,len_description,inline_comments,,,,,,,,,,,,,,,,,
0,2,30,38,1,1,0.005833,324,0,,,,,,,,,,,,,,,,,
1,7,210,1018,5,10,2847.105,72,0,,,,,,,,,,,,,,,,,
8,10,2892,5599,1,8,141.0675,952,0,,,,,,,,,,,,,,,,,
1,5,156,198,3,3,805.7981,150,0,,,,,,,,,,,,,,,,,
7,7,1183,107,2,2,5426.389,152,0,,,,,,,,,,,,,,,,,
9,34,2305,173,11,2,5780.578,93,49,,,,,,,,,,,,,,,,,
12,17,4279,6671,2,10,14.88694,959,0,,,,,,,,,,,,,,,,,
5,8,1206,116,1,1,19.37944,506,2,,,,,,,,,,,,,,,,,
3,5,992,69,1,2,0.913333,959,0,,,,,,,,,,,,,,,,,
6,8,1506,6612,1,9,5.522778,952,4,,,,,,,,,,,,,,,,,
5,7,152,444,1,2,529.5817,241,3,,,,,,,,,,,,,,,,,
13,61,1951,288,27,1,2476.515,326,55,,,,,,,,,,,,,,,,,
43,377,67764,89,19,8,6621.894,236,44,,,,,,,,,,,,,,,,,
20,120,23628,37,8,3,3689.828,98,1,,,,,,,,,,,,,,,,,
29,43,8936,154,1,3,990.8786,1855,11,,,,,,,,,,,,,,,,,
4,8,695,731,2,5,1967.396,389,4,,,,,,,,,,,,,,,,,
3,60,4099,1746,15,55,1122.556,171,3,,,,,,,,,,,,,,,,,
9,11,3075,34,1,6,7.898889,491,0,,,,,,,,,,,,,,,,,
9,11,2993,34,1,6,2.900278,446,0,,,,,,,,,,,,,,,,,
5,11,1462,97,4,4,573.7247,392,0,,,,,,,,,,,,,,,,,
10,15,3244,15,1,1,3511.855,284,6,,,,,,,,,,,,,,,,,
5,13,583,745,3,6,788.5186,390,3,,,,,,,,,,,,,,,,,
1,3,203,11,1,1,79.33083,393,0,,,,,,,,,,,,,,,,,
1,3,191,11,1,1,79.38806,191,1,,,,,,,,,,,,,,,,,
2,5,517,35,2,1,44.68639,132,0,,,,,,,,,,,,,,,,,
4,11,874,153,4,1,3039.097,216,0,,,,,,,,,,,,,,,,,
2,7,725,636,4,1,4094.192,610,1,,,,,,,,,,,,,,,,,
6,11,635,159,2,1,1921.359,124,17,,,,,,,,,,,,,,,,,
1,3,145,411,1,2,1372.346,95,2,,,,,,,,,,,,,,,,,
1,3,131,100,1,1,309.0678,68,1,,,,,,,,,,,,,,,,,
7,9,344,43,7,4,7178.409,356,0,,,,,,,,,,,,,,,,,
4,13,477,11,6,1,60.16056,445,5,,,,,,,,,,,,,,,,,
4,10,1644,48,2,3,352.5394,557,12,,,,,,,,,,,,,,,,,
5,7,2524,12,1,1,197.1111,326,0,,,,,,,,,,,,,,,,,
2,4,232,98,1,5,276.0125,464,0,,,,,,,,,,,,,,,,,
4,15,1877,245,5,2,2732.03,294,0,,,,,,,,,,,,,,,,,
5,3,69,4,1,1,8.096389,218,1,,,,,,,,,,,,,,,,,
2,8,2233,694,3,4,182.8153,180,10,,,,,,,,,,,,,,,,,
3,11,2031,470,3,4,406.9239,693,0,,,,,,,,,,,,,,,,,
1,4,206,44,2,1,1.507222,412,1,,,,,,,,,,,,,,,,,
4,4,177,700,1,25,287.8525,128,0,,,,,,,,,,,,,,,,,
3,17,6120,3,5,1,151.4258,183,0,,,,,,,,,,,,,,,,,
4,15,5422,81,4,1,151.3939,186,0,,,,,,,,,,,,,,,,,
3,18,8896,9,5,1,312.8075,220,0,,,,,,,,,,,,,,,,,
2,11,529,850,6,16,2253.129,281,0,,,,,,,,,,,,,,,,,
1,6,255,947,3,5,2.578056,2615,0,,,,,,,,,,,,,,,,,
1,5,256,21,2,1,17.24833,95,0,,,,,,,,,,,,,,,,,
3,9,604,289,3,9,2.988056,419,10,,,,,,,,,,,,,,,,,
23,39,8810,330,2,7,386.0972,573,12,,,,,,,,,,,,,,,,,
1,3,471,136,1,1,411.8911,103,0,,,,,,,,,,,,,,,,,
7,16,420,251,4,1,190.6314,150,10,,,,,,,,,,,,,,,,,
2,4,211,5376,1,9,789.1436,425,0,,,,,,,,,,,,,,,,,
0,4,206,15,1,2,29942.36,139,0,,,,,,,,,,,,,,,,,
1,11,371,43,7,3,30012.08,391,1,,,,,,,,,,,,,,,,,
1,5,104,75,2,3,178.2319,82,0,,,,,,,,,,,,,,,,,
6,14,484,316,4,3,3112.881,142,2,,,,,,,,,,,,,,,,,
4,7,2515,88,2,1,1035.174,386,0,,,,,,,,,,,,,,,,,
3,12,373,149,5,1,817.2342,116,4,,,,,,,,,,,,,,,,,
0,41,1004,5,30,1,335.3731,375,7,,,,,,,,,,,,,,,,,
29,63,10557,318,3,1,1605.42,261,8,,,,,,,,,,,,,,,,,
6,13,3595,30,2,1,85.39417,219,2,,,,,,,,,,,,,,,,,
0,2,48,1089,1,12,0.048056,348,0,,,,,,,,,,,,,,,,,
9,33,10529,160,7,3,291.8311,143,0,,,,,,,,,,,,,,,,,
7,17,895,49,6,2,7053.213,329,6,,,,,,,,,,,,,,,,,
23,107,25498,878,6,1,3112.149,356,14,,,,,,,,,,,,,,,,,
3,7,1630,184,2,1,1294.125,354,0,,,,,,,,,,,,,,,,,
10,32,11014,64,5,3,6622.94,376,6,,,,,,,,,,,,,,,,,
4,8,4183,228,1,4,3407.235,301,3,,,,,,,,,,,,,,,,,
3,15,328,692,13,14,186.6594,238,0,,,,,,,,,,,,,,,,,
