reviewers,messages,len_messages,churn,revisions,files,duration,len_description,inline_comments,,,,,,,,,,,,,,,,,
9,31,837,1,16,1,1195.044,122,0,,,,,,,,,,,,,,,,,
6,7,244,44,2,2,172.56,372,0,,,,,,,,,,,,,,,,,
5,10,308,40,4,3,150.6164,295,2,,,,,,,,,,,,,,,,,
6,6,209,42,2,1,173.6836,314,0,,,,,,,,,,,,,,,,,
5,5,148,8,2,1,147.7108,175,0,,,,,,,,,,,,,,,,,
7,19,613,6,8,1,171.9581,137,11,,,,,,,,,,,,,,,,,
8,15,839,16,5,1,157.345,224,7,,,,,,,,,,,,,,,,,
2,3,226,164,1,1,95.70194,309,0,,,,,,,,,,,,,,,,,
5,21,3572,295,4,7,422.3647,190,8,,,,,,,,,,,,,,,,,
4,21,6133,285,5,5,65.34306,470,12,,,,,,,,,,,,,,,,,
4,7,279,50,2,2,641.6306,733,1,,,,,,,,,,,,,,,,,
1,4,116,168,2,10,572.6458,210,0,,,,,,,,,,,,,,,,,
2,13,1987,387,4,1,675.0203,94,14,,,,,,,,,,,,,,,,,
2,3,84,19,1,2,1.982222,391,0,,,,,,,,,,,,,,,,,
2,3,660,953,1,7,180.7692,573,0,,,,,,,,,,,,,,,,,
5,20,643,39,11,3,118.2022,125,2,,,,,,,,,,,,,,,,,
5,7,259,211,2,2,24.36139,669,3,,,,,,,,,,,,,,,,,
5,9,221,490,2,3,715.7922,489,4,,,,,,,,,,,,,,,,,
9,25,5270,798,4,3,65.18444,371,19,,,,,,,,,,,,,,,,,
9,28,2763,15,3,1,512.1081,94,5,,,,,,,,,,,,,,,,,
3,23,683,589,8,5,456.2969,461,10,,,,,,,,,,,,,,,,,
3,4,151,18,1,2,1356.869,261,1,,,,,,,,,,,,,,,,,
3,8,534,170,2,2,427.2764,452,0,,,,,,,,,,,,,,,,,
10,31,3326,29,5,1,1962.19,361,10,,,,,,,,,,,,,,,,,
7,22,1149,120,14,14,2032.434,114,1,,,,,,,,,,,,,,,,,
1,3,70,1380,1,3,8.146667,345,0,,,,,,,,,,,,,,,,,
7,44,7930,893,14,7,561.5997,423,14,,,,,,,,,,,,,,,,,
2,8,260,30,6,5,250.7739,328,0,,,,,,,,,,,,,,,,,
12,21,1379,639,7,5,336.8431,321,19,,,,,,,,,,,,,,,,,
5,54,2973,3226,16,110,381.3639,646,74,,,,,,,,,,,,,,,,,
8,16,3603,123,3,2,1178.783,303,3,,,,,,,,,,,,,,,,,
2,6,952,28,1,1,668.865,365,1,,,,,,,,,,,,,,,,,
2,2,90,164,1,1,19.04944,309,0,,,,,,,,,,,,,,,,,
1,2,92,1,1,1,1.7225,103,0,,,,,,,,,,,,,,,,,
1,3,98,1,2,1,2.731111,103,0,,,,,,,,,,,,,,,,,
6,18,623,49,7,7,560.2456,459,8,,,,,,,,,,,,,,,,,
3,4,105,120,1,5,56.47417,321,0,,,,,,,,,,,,,,,,,
6,29,2281,99,13,1,2485.409,522,11,,,,,,,,,,,,,,,,,
2,4,181,43,2,3,4.241944,88,0,,,,,,,,,,,,,,,,,
1,2,58,4,1,1,2.940278,109,0,,,,,,,,,,,,,,,,,
3,10,572,84,1,4,288.7006,251,3,,,,,,,,,,,,,,,,,
8,21,585,162,6,11,1868.949,299,0,,,,,,,,,,,,,,,,,
5,9,240,86,5,2,806.39,247,0,,,,,,,,,,,,,,,,,
2,9,210,101,7,280,497.2194,256,0,,,,,,,,,,,,,,,,,
2,6,145,372,2,3,129.0881,266,0,,,,,,,,,,,,,,,,,
3,7,241,774,3,5,233.5794,370,0,,,,,,,,,,,,,,,,,
3,7,235,235,3,3,47.16333,550,2,,,,,,,,,,,,,,,,,
5,20,4419,306,6,2,699.8067,219,0,,,,,,,,,,,,,,,,,
2,4,111,1088,2,62,68.9875,449,0,,,,,,,,,,,,,,,,,
1,7,254,1238,2,22,8.624167,329,0,,,,,,,,,,,,,,,,,
5,10,469,559,2,28,531.0703,370,0,,,,,,,,,,,,,,,,,
4,9,454,15,2,1,323.7369,144,1,,,,,,,,,,,,,,,,,
2,3,84,23,1,1,0.968333,226,0,,,,,,,,,,,,,,,,,
4,29,859,1041,9,37,154.1761,867,0,,,,,,,,,,,,,,,,,
3,7,196,402,4,12,194.6642,425,1,,,,,,,,,,,,,,,,,
5,9,261,332,2,7,344.9583,201,0,,,,,,,,,,,,,,,,,
6,23,2127,337,6,2,461.0467,183,2,,,,,,,,,,,,,,,,,
7,21,2803,161,9,2,502.2767,420,0,,,,,,,,,,,,,,,,,
9,14,1130,67,3,3,161.3556,657,0,,,,,,,,,,,,,,,,,
2,5,173,55,3,5,71.74556,267,0,,,,,,,,,,,,,,,,,
3,5,220,53,2,5,71.74528,292,0,,,,,,,,,,,,,,,,,
2,4,120,53,2,5,67.29056,268,0,,,,,,,,,,,,,,,,,
4,8,1087,8,3,1,667.4272,244,1,,,,,,,,,,,,,,,,,
7,51,10206,3166,8,70,1539.983,346,1,,,,,,,,,,,,,,,,,
3,5,167,31,2,2,219.37,95,0,,,,,,,,,,,,,,,,,
3,5,133,55,1,5,25.67611,267,0,,,,,,,,,,,,,,,,,
3,4,122,53,1,5,25.675,292,0,,,,,,,,,,,,,,,,,
2,3,109,199,1,7,23.17333,267,0,,,,,,,,,,,,,,,,,
2,3,100,53,1,5,21.99278,268,0,,,,,,,,,,,,,,,,,
3,5,131,41,2,5,112.8269,102,0,,,,,,,,,,,,,,,,,
5,19,581,164,11,8,180.5267,737,14,,,,,,,,,,,,,,,,,
2,4,217,199,1,7,95.98139,198,0,,,,,,,,,,,,,,,,,
2,3,109,199,1,7,92.74583,292,0,,,,,,,,,,,,,,,,,
2,3,109,198,1,7,92.37,268,0,,,,,,,,,,,,,,,,,
2,4,217,199,1,7,45.05361,223,0,,,,,,,,,,,,,,,,,
2,5,249,198,1,7,68.76028,199,0,,,,,,,,,,,,,,,,,
4,15,882,298,4,8,116.3697,232,15,,,,,,,,,,,,,,,,,
4,10,432,481,3,23,74.92889,137,0,,,,,,,,,,,,,,,,,
6,45,9612,58,8,29,1318.123,218,0,,,,,,,,,,,,,,,,,
2,3,124,268,2,9,1.900556,96,0,,,,,,,,,,,,,,,,,
4,6,237,14,1,1,47.59639,185,2,,,,,,,,,,,,,,,,,
9,10,2261,30,1,4,30.96083,236,0,,,,,,,,,,,,,,,,,
3,9,428,1129,5,17,404.2217,567,3,,,,,,,,,,,,,,,,,
3,6,523,77,1,11,24.44361,222,1,,,,,,,,,,,,,,,,,
2,4,127,59,2,4,213.2067,502,0,,,,,,,,,,,,,,,,,
11,12,3490,6,1,1,9.370556,102,1,,,,,,,,,,,,,,,,,
2,6,161,32,4,3,91.63944,514,2,,,,,,,,,,,,,,,,,
3,4,121,5,1,1,36.50861,112,0,,,,,,,,,,,,,,,,,
2,3,84,91,1,1,26.79917,503,0,,,,,,,,,,,,,,,,,
2,3,84,21,1,1,51.28056,219,0,,,,,,,,,,,,,,,,,
10,18,4211,160,1,2,113.5275,271,0,,,,,,,,,,,,,,,,,
1,2,58,483,1,4,192.6025,194,0,,,,,,,,,,,,,,,,,
6,19,2119,71,5,1,366.4661,1065,1,,,,,,,,,,,,,,,,,
2,6,192,37,4,1,88.48861,330,0,,,,,,,,,,,,,,,,,
2,6,192,35,4,1,88.25722,330,0,,,,,,,,,,,,,,,,,
2,12,322,37244,5,158,194.7436,534,0,,,,,,,,,,,,,,,,,
7,8,1954,81,1,1,482.5506,480,0,,,,,,,,,,,,,,,,,
5,5,192,29,1,2,175.6658,924,0,,,,,,,,,,,,,,,,,
4,15,730,180,4,1,2732.9,317,40,,,,,,,,,,,,,,,,,
4,10,267,179,7,1,70.63778,186,0,,,,,,,,,,,,,,,,,
8,12,4882,21,2,3,26.51028,273,4,,,,,,,,,,,,,,,,,
3,6,970,929,1,13,895.4544,295,0,,,,,,,,,,,,,,,,,
3,5,616,170,1,30,5.086389,187,0,,,,,,,,,,,,,,,,,
3,5,397,418,1,35,3.633056,691,0,,,,,,,,,,,,,,,,,
3,5,390,23,2,2,25.83333,488,0,,,,,,,,,,,,,,,,,
5,10,425,18,4,1,356.8425,125,0,,,,,,,,,,,,,,,,,
2,15,531,436,11,44,135.6931,298,2,,,,,,,,,,,,,,,,,
3,5,137,16,1,1,48.86611,229,0,,,,,,,,,,,,,,,,,
6,18,1691,37,4,1,145.6653,222,1,,,,,,,,,,,,,,,,,
15,63,18876,157,6,1,670.6156,341,2,,,,,,,,,,,,,,,,,
2,3,84,36,1,1,424.4839,446,0,,,,,,,,,,,,,,,,,
3,6,192,124,3,6,325.5489,205,0,,,,,,,,,,,,,,,,,
6,20,730,33,4,3,122.0942,239,12,,,,,,,,,,,,,,,,,
2,3,84,8,1,1,49.80444,225,0,,,,,,,,,,,,,,,,,
3,5,151,4,2,1,49.86583,176,0,,,,,,,,,,,,,,,,,
3,8,249,15,3,1,324.0086,265,0,,,,,,,,,,,,,,,,,
3,5,156,8,1,1,342.2564,370,0,,,,,,,,,,,,,,,,,
4,7,206,32,2,2,123.1414,194,1,,,,,,,,,,,,,,,,,
9,28,2911,75,4,5,777.2614,201,10,,,,,,,,,,,,,,,,,
2,3,101,8,2,1,18.22778,173,0,,,,,,,,,,,,,,,,,
1,2,58,10,1,1,2386.27,153,0,,,,,,,,,,,,,,,,,
2,3,103,477,1,1,6.366111,315,0,,,,,,,,,,,,,,,,,
16,130,37659,65,14,4,279.3131,450,35,,,,,,,,,,,,,,,,,
4,5,513,41,1,1,40.00444,668,2,,,,,,,,,,,,,,,,,
3,4,574,54,1,4,40.14083,433,0,,,,,,,,,,,,,,,,,
5,44,2940,234,15,9,7098.791,97,26,,,,,,,,,,,,,,,,,
5,23,3032,163,6,2,142.4403,329,10,,,,,,,,,,,,,,,,,
2,4,169,708,2,13,123.3344,394,1,,,,,,,,,,,,,,,,,
5,3,84,184,1,12,33.25722,247,0,,,,,,,,,,,,,,,,,
5,60,9489,81,5,6,744.3939,465,41,,,,,,,,,,,,,,,,,
8,12,1048,572,4,12,735.2261,920,0,,,,,,,,,,,,,,,,,
3,4,117,9,1,1,42.79,520,0,,,,,,,,,,,,,,,,,
3,4,531,103,1,1,32.48417,276,0,,,,,,,,,,,,,,,,,
19,76,21806,91,6,1,3912.384,287,13,,,,,,,,,,,,,,,,,
4,19,923,264,12,5,2790.26,210,0,,,,,,,,,,,,,,,,,
4,26,817,630,12,17,1317.412,231,15,,,,,,,,,,,,,,,,,
2,4,477,119,1,2,21.91083,418,0,,,,,,,,,,,,,,,,,
1,2,58,11,1,6,8.625556,384,0,,,,,,,,,,,,,,,,,
2,5,213,82,3,26,8.731111,391,0,,,,,,,,,,,,,,,,,
5,23,1194,49,10,1,995.2478,694,2,,,,,,,,,,,,,,,,,
4,44,3121,158,17,10,1721.45,284,56,,,,,,,,,,,,,,,,,
14,50,12498,71,4,1,466.0914,309,19,,,,,,,,,,,,,,,,,
7,36,6889,45,8,15,362.0589,149,4,,,,,,,,,,,,,,,,,
5,8,1643,9,1,1,53.23833,253,0,,,,,,,,,,,,,,,,,
7,61,10531,1089,18,23,1365.186,277,27,,,,,,,,,,,,,,,,,
4,19,630,299,11,31,66.98139,715,21,,,,,,,,,,,,,,,,,
3,24,835,10,5,1,225.7483,539,15,,,,,,,,,,,,,,,,,
3,11,1385,744,2,17,384.9986,294,0,,,,,,,,,,,,,,,,,
3,10,3467,220,3,8,23.28361,662,3,,,,,,,,,,,,,,,,,
5,14,762,51,7,3,207.4358,467,0,,,,,,,,,,,,,,,,,
1,3,117,85,2,1,131.5853,471,1,,,,,,,,,,,,,,,,,
2,4,192,21,1,1,681.3744,122,1,,,,,,,,,,,,,,,,,
4,7,213,18,3,1,44.31222,511,1,,,,,,,,,,,,,,,,,
13,15,468,56,4,2,224.7497,685,6,,,,,,,,,,,,,,,,,
8,53,7340,868,14,11,1752.992,226,35,,,,,,,,,,,,,,,,,
5,9,323,23,2,1,620.4608,376,0,,,,,,,,,,,,,,,,,
7,6,160,58,1,2,4.199167,233,2,,,,,,,,,,,,,,,,,
7,33,2085,1329,7,21,395.5744,161,230,,,,,,,,,,,,,,,,,
5,16,1847,216,7,7,58.38639,277,0,,,,,,,,,,,,,,,,,
2,6,152,25,3,1,176.4547,266,2,,,,,,,,,,,,,,,,,
5,12,3477,313,2,3,601.9844,276,0,,,,,,,,,,,,,,,,,
6,7,320,34,2,2,75.49056,634,0,,,,,,,,,,,,,,,,,
6,29,1067,54,14,3,696.7475,413,13,,,,,,,,,,,,,,,,,
1,2,109,34,1,3,0.051389,169,0,,,,,,,,,,,,,,,,,
3,11,1331,75,4,3,128.9208,162,0,,,,,,,,,,,,,,,,,
4,13,3814,173,3,6,220.1939,356,4,,,,,,,,,,,,,,,,,
8,46,9375,95,9,8,2598.137,534,1,,,,,,,,,,,,,,,,,
8,65,13488,75,9,1,2691.576,309,6,,,,,,,,,,,,,,,,,
2,5,126,26,3,3,49.17,362,0,,,,,,,,,,,,,,,,,
2,27,7554,16,1,1,421.5981,437,0,,,,,,,,,,,,,,,,,
1,3,104,86,2,3,1.137222,156,0,,,,,,,,,,,,,,,,,
1,2,58,711,1,10,0.255556,253,0,,,,,,,,,,,,,,,,,
4,21,753,299,11,4,2365.274,324,4,,,,,,,,,,,,,,,,,
13,30,4161,388,3,15,222.1739,404,7,,,,,,,,,,,,,,,,,
1,2,58,443,1,2,17.52778,263,0,,,,,,,,,,,,,,,,,
1,3,79,377,2,11,1.828611,587,0,,,,,,,,,,,,,,,,,
1,4,140,253,3,6,3291.168,218,0,,,,,,,,,,,,,,,,,
2,4,105,435,2,3,3.926944,474,0,,,,,,,,,,,,,,,,,
3,5,112,435,2,3,24.70167,405,0,,,,,,,,,,,,,,,,,
3,7,178,31,3,1,0.901111,267,0,,,,,,,,,,,,,,,,,
1,3,79,92,2,6,0.878889,277,0,,,,,,,,,,,,,,,,,
5,5,689,225,1,1,80.16778,464,0,,,,,,,,,,,,,,,,,
4,36,20381,255,6,2,50.43167,466,0,,,,,,,,,,,,,,,,,
1,5,171,132,4,3,51.41167,219,0,,,,,,,,,,,,,,,,,
56,230,80206,330,13,31,7506.695,380,0,,,,,,,,,,,,,,,,,
4,22,1713,883,9,8,2150.837,621,16,,,,,,,,,,,,,,,,,
1,2,58,5,1,1,3.605,168,0,,,,,,,,,,,,,,,,,
2,5,137,35,2,2,422.0969,261,0,,,,,,,,,,,,,,,,,
1,2,122,366,1,14,0.217222,569,0,,,,,,,,,,,,,,,,,
3,12,377,266,6,1,985.8619,185,4,,,,,,,,,,,,,,,,,
1,3,79,55,2,3,1.493611,277,0,,,,,,,,,,,,,,,,,
1,3,79,55,2,3,3.335833,277,0,,,,,,,,,,,,,,,,,
1,4,100,57,3,3,1.139444,277,0,,,,,,,,,,,,,,,,,
15,54,17254,46,4,2,51.68417,233,0,,,,,,,,,,,,,,,,,
1,5,121,47,4,2,15.48528,277,0,,,,,,,,,,,,,,,,,
1,4,128,49,3,2,9.024444,277,0,,,,,,,,,,,,,,,,,
15,203,69570,153,51,3,754.1511,335,38,,,,,,,,,,,,,,,,,
3,6,211,2345,2,17,100.3269,605,0,,,,,,,,,,,,,,,,,
4,5,183,23,1,1,98.9625,129,0,,,,,,,,,,,,,,,,,
1,7,163,89,6,6,11.12306,192,0,,,,,,,,,,,,,,,,,
1,10,301,1051,9,12,77.78806,1319,0,,,,,,,,,,,,,,,,,
3,11,558,68,6,3,542.2531,118,0,,,,,,,,,,,,,,,,,
4,11,422,11,5,2,544.5811,119,0,,,,,,,,,,,,,,,,,
5,27,1506,1025,8,8,156.1006,542,16,,,,,,,,,,,,,,,,,
4,9,417,19,4,2,529.4697,118,7,,,,,,,,,,,,,,,,,
2,3,79,1,1,1,138.84,99,0,,,,,,,,,,,,,,,,,
3,4,96,13,1,1,258.2297,245,0,,,,,,,,,,,,,,,,,
2,2,58,665,1,9,0.275556,279,0,,,,,,,,,,,,,,,,,
1,5,153,3,3,1,2.827222,403,1,,,,,,,,,,,,,,,,,
11,15,3553,32,2,1,168.6358,261,1,,,,,,,,,,,,,,,,,
5,6,488,1,1,1,33.36694,353,0,,,,,,,,,,,,,,,,,
4,18,530,949,7,15,48.05611,119,24,,,,,,,,,,,,,,,,,
13,36,1659,230,16,7,959.2842,273,50,,,,,,,,,,,,,,,,,
3,5,166,8,2,1,14.8525,327,0,,,,,,,,,,,,,,,,,
2,3,84,28,1,2,2.499722,303,0,,,,,,,,,,,,,,,,,
8,28,5290,169,3,1,1206.584,532,0,,,,,,,,,,,,,,,,,
6,32,1140,435,11,3,2694.74,77,19,,,,,,,,,,,,,,,,,
4,4,179,40,1,3,8.234167,389,0,,,,,,,,,,,,,,,,,
8,36,3214,49,7,3,164.9703,213,9,,,,,,,,,,,,,,,,,
1,3,94,1095,2,6,3.444444,336,0,,,,,,,,,,,,,,,,,
1,4,261,1096,2,6,3.705556,336,0,,,,,,,,,,,,,,,,,
1,3,126,1096,2,6,3.701944,336,0,,,,,,,,,,,,,,,,,
3,10,354,96,5,4,382.3422,217,12,,,,,,,,,,,,,,,,,
2,9,210,899,4,3,120.5411,104,2,,,,,,,,,,,,,,,,,
3,7,202,5,3,1,74.16278,215,0,,,,,,,,,,,,,,,,,
13,77,25257,651,12,17,1242.101,1707,3,,,,,,,,,,,,,,,,,
4,11,277,70,4,7,3630.94,449,0,,,,,,,,,,,,,,,,,
4,5,126,29,1,1,46.44,85,0,,,,,,,,,,,,,,,,,
4,18,918,385,12,3,939.3031,397,0,,,,,,,,,,,,,,,,,
1,2,58,711,1,10,4.605,184,0,,,,,,,,,,,,,,,,,
3,15,394,416,10,6,1374.156,352,3,,,,,,,,,,,,,,,,,
3,10,308,165,2,1,476.5828,1586,10,,,,,,,,,,,,,,,,,
67,728,254754,941,30,3,8307.34,414,23,,,,,,,,,,,,,,,,,
47,260,87345,399,8,6,4007.999,213,37,,,,,,,,,,,,,,,,,
2,3,84,17,1,3,46.61333,331,0,,,,,,,,,,,,,,,,,
5,38,5285,131,13,1,652.7989,495,25,,,,,,,,,,,,,,,,,
10,69,5506,204,32,3,161.0261,178,21,,,,,,,,,,,,,,,,,
3,10,940,30,5,1,324.2678,105,0,,,,,,,,,,,,,,,,,
7,8,845,9,2,1,18.37694,184,3,,,,,,,,,,,,,,,,,
6,15,2102,54,5,3,1270.855,532,2,,,,,,,,,,,,,,,,,
3,10,272,124,5,1,73.57167,344,0,,,,,,,,,,,,,,,,,
3,8,846,7,3,2,60.96,262,6,,,,,,,,,,,,,,,,,
3,7,221,169,4,9,162.9803,183,0,,,,,,,,,,,,,,,,,
5,28,1290,185,10,3,2269.988,275,31,,,,,,,,,,,,,,,,,
3,6,167,104,2,1,31.87472,506,1,,,,,,,,,,,,,,,,,
2,5,2030,80,2,3,7.824167,79,0,,,,,,,,,,,,,,,,,
3,17,814,624,6,6,117.6933,223,18,,,,,,,,,,,,,,,,,
8,19,2587,34,3,1,163.55,955,12,,,,,,,,,,,,,,,,,
1,3,205,295,1,1,3447.27,278,0,,,,,,,,,,,,,,,,,
3,8,286,725,2,13,164.6375,689,6,,,,,,,,,,,,,,,,,
2,12,915,134,7,6,5784.075,168,24,,,,,,,,,,,,,,,,,
2,4,133,16,2,1,31.16278,238,0,,,,,,,,,,,,,,,,,
3,2,58,11,1,1,1.852222,196,0,,,,,,,,,,,,,,,,,
3,2,58,11,1,1,1.715,208,0,,,,,,,,,,,,,,,,,
2,5,176,218,3,2,726.8903,104,0,,,,,,,,,,,,,,,,,
5,27,11363,375,6,4,766.3469,764,6,,,,,,,,,,,,,,,,,
2,4,105,6071,2,38,28.39806,346,0,,,,,,,,,,,,,,,,,
4,7,261,3277,2,19,70.70083,354,0,,,,,,,,,,,,,,,,,
2,4,156,30,1,2,41.865,119,0,,,,,,,,,,,,,,,,,
2,3,84,95,1,1,50.9575,210,0,,,,,,,,,,,,,,,,,
5,13,2995,392,5,1,187.8219,682,14,,,,,,,,,,,,,,,,,
3,4,96,0,1,1,17.47972,111,0,,,,,,,,,,,,,,,,,
4,14,376,79,5,5,11.21056,418,10,,,,,,,,,,,,,,,,,
7,12,656,23,7,18,749.3742,417,1,,,,,,,,,,,,,,,,,
1,3,171,286,1,3,5.066667,169,0,,,,,,,,,,,,,,,,,
3,6,290,370,3,4,97.1225,439,0,,,,,,,,,,,,,,,,,
5,20,770,272,8,12,1218.747,255,3,,,,,,,,,,,,,,,,,
5,10,346,281,3,7,1220.183,318,0,,,,,,,,,,,,,,,,,
4,13,385,326,7,11,1198.056,388,0,,,,,,,,,,,,,,,,,
5,33,1243,1154,20,27,1207.131,403,16,,,,,,,,,,,,,,,,,
6,14,1913,63,4,2,64.04944,112,9,,,,,,,,,,,,,,,,,
5,33,1181,482,10,8,166.3881,128,22,,,,,,,,,,,,,,,,,
5,20,786,522,8,21,1181.182,715,7,,,,,,,,,,,,,,,,,
5,17,636,59,3,2,147.3039,232,4,,,,,,,,,,,,,,,,,
20,164,49749,30,15,2,1374.516,407,4,,,,,,,,,,,,,,,,,
4,12,1729,207,3,7,6300.326,392,6,,,,,,,,,,,,,,,,,
7,53,3118,63,17,1,2280.686,287,27,,,,,,,,,,,,,,,,,
6,9,658,54,2,3,16.49861,319,0,,,,,,,,,,,,,,,,,
4,47,12813,89,13,2,253.5839,401,10,,,,,,,,,,,,,,,,,
3,13,501,108,9,5,2065.637,136,0,,,,,,,,,,,,,,,,,
2,3,84,747,1,17,25.31167,279,0,,,,,,,,,,,,,,,,,
4,7,204,31,2,2,169.8633,247,0,,,,,,,,,,,,,,,,,
2,8,321,232,4,6,4.884722,457,2,,,,,,,,,,,,,,,,,
2,5,142,289,2,1,288.0211,444,0,,,,,,,,,,,,,,,,,
4,46,3130,360,9,7,477.4667,412,43,,,,,,,,,,,,,,,,,
2,5,112,15,1,1,602.3828,84,0,,,,,,,,,,,,,,,,,
7,10,317,23,3,2,166.4289,240,0,,,,,,,,,,,,,,,,,
1,4,118,179,2,3,4.689722,242,1,,,,,,,,,,,,,,,,,
3,10,287,5784,2,11,100.3683,232,0,,,,,,,,,,,,,,,,,
5,14,665,251,6,12,613.89,253,0,,,,,,,,,,,,,,,,,
4,11,511,241,3,8,535.0033,256,0,,,,,,,,,,,,,,,,,
6,14,670,295,5,9,613.8242,255,0,,,,,,,,,,,,,,,,,
4,14,703,292,5,10,613.7053,325,2,,,,,,,,,,,,,,,,,
5,19,938,314,8,19,605.0019,327,2,,,,,,,,,,,,,,,,,
5,11,531,282,3,12,594.5225,257,2,,,,,,,,,,,,,,,,,
5,12,540,201,4,5,595.6006,261,0,,,,,,,,,,,,,,,,,
7,32,2234,53,6,2,792.1583,169,2,,,,,,,,,,,,,,,,,
2,12,401,1037,10,1,1656.772,96,0,,,,,,,,,,,,,,,,,
5,11,1326,70,2,3,361.3314,179,1,,,,,,,,,,,,,,,,,
2,3,84,27,1,3,31.77889,385,0,,,,,,,,,,,,,,,,,
6,14,470,300,3,31,1150.809,190,1,,,,,,,,,,,,,,,,,
5,10,274,908,3,13,244.6725,501,6,,,,,,,,,,,,,,,,,
2,11,426,60,8,2,543.3014,92,8,,,,,,,,,,,,,,,,,
4,9,612,56,4,48,289.8828,91,0,,,,,,,,,,,,,,,,,
4,25,3673,50,9,2,4392.456,82,5,,,,,,,,,,,,,,,,,
4,8,222,15,1,1,18.93694,98,6,,,,,,,,,,,,,,,,,
18,120,36008,73,12,4,1370.652,218,13,,,,,,,,,,,,,,,,,
4,9,828,141,2,4,177.8636,290,0,,,,,,,,,,,,,,,,,
3,11,605,367,2,8,127.5436,992,4,,,,,,,,,,,,,,,,,
6,39,3589,435,13,2,1800.825,81,18,,,,,,,,,,,,,,,,,
5,9,261,34,2,2,99.51528,127,6,,,,,,,,,,,,,,,,,
15,104,29373,135,9,2,554.2406,408,10,,,,,,,,,,,,,,,,,
5,27,1294,616,14,7,3150.465,202,11,,,,,,,,,,,,,,,,,
1,6,145,2547,4,10,55.79556,91,0,,,,,,,,,,,,,,,,,
2,6,200,191,1,13,5.281667,205,1,,,,,,,,,,,,,,,,,
4,17,738,2838,11,32,1850.775,1126,9,,,,,,,,,,,,,,,,,
3,5,151,819,2,5,63.23361,89,0,,,,,,,,,,,,,,,,,
3,32,4650,33,11,2,1660.981,231,0,,,,,,,,,,,,,,,,,
1,4,166,668,2,27,21.9475,104,0,,,,,,,,,,,,,,,,,
5,10,325,171,3,1,20.75778,158,9,,,,,,,,,,,,,,,,,
1,6,145,1641,4,44,23.12528,729,0,,,,,,,,,,,,,,,,,
18,130,37078,305,12,1,647.2608,384,52,,,,,,,,,,,,,,,,,
4,9,374,107,3,6,760.2961,257,2,,,,,,,,,,,,,,,,,
3,27,678,441,14,6,622.6342,198,18,,,,,,,,,,,,,,,,,
16,139,36073,158,10,1,409.1458,523,58,,,,,,,,,,,,,,,,,
3,6,234,6,2,1,380.7681,326,0,,,,,,,,,,,,,,,,,
2,4,115,29,1,1,1.319722,180,0,,,,,,,,,,,,,,,,,
4,16,526,551,9,32,1006.4,457,9,,,,,,,,,,,,,,,,,
7,25,1595,273,10,84,1259.138,283,56,,,,,,,,,,,,,,,,,
10,32,5950,619,3,1,151.7242,552,27,,,,,,,,,,,,,,,,,
6,12,2522,137,3,10,50.66556,595,2,,,,,,,,,,,,,,,,,
13,45,6020,111,17,6,486.0064,110,27,,,,,,,,,,,,,,,,,
7,10,315,7,3,1,1046.971,184,1,,,,,,,,,,,,,,,,,
8,42,10953,843,11,4,269.8767,658,5,,,,,,,,,,,,,,,,,
2,10,269,657,7,25,46.83139,78,2,,,,,,,,,,,,,,,,,
4,10,258,225,7,5,145.5136,195,0,,,,,,,,,,,,,,,,,
3,11,357,228,9,3,214.7211,279,0,,,,,,,,,,,,,,,,,
1,4,150,464,3,4,484.4608,287,0,,,,,,,,,,,,,,,,,
2,7,230,153,3,1,133.8206,111,0,,,,,,,,,,,,,,,,,
13,35,8628,40,3,2,41.06444,231,2,,,,,,,,,,,,,,,,,
26,314,55283,624,35,22,11265.02,332,118,,,,,,,,,,,,,,,,,
3,7,484,307,1,1,112.3361,104,0,,,,,,,,,,,,,,,,,
2,3,84,219,1,1,1.865,115,0,,,,,,,,,,,,,,,,,
3,9,290,136,6,3,810.9089,90,0,,,,,,,,,,,,,,,,,
8,21,1926,32,4,3,670.9906,608,6,,,,,,,,,,,,,,,,,
3,9,315,100,6,2,778.1539,87,0,,,,,,,,,,,,,,,,,
3,9,315,362,6,10,778.1083,90,0,,,,,,,,,,,,,,,,,
5,15,402,1413,4,2,641.4678,458,6,,,,,,,,,,,,,,,,,
4,11,426,138,6,3,719.245,93,2,,,,,,,,,,,,,,,,,
3,9,315,95,6,5,675.5286,106,0,,,,,,,,,,,,,,,,,
3,9,315,126,6,3,675.3567,280,0,,,,,,,,,,,,,,,,,
3,4,269,67,1,2,14.48333,412,0,,,,,,,,,,,,,,,,,
3,60,2745,1514,33,17,3221.944,128,47,,,,,,,,,,,,,,,,,
5,13,705,34,3,5,125.7228,223,8,,,,,,,,,,,,,,,,,
16,181,55762,55,22,2,589.005,800,12,,,,,,,,,,,,,,,,,
32,155,41426,39,13,1,10581.33,272,1,,,,,,,,,,,,,,,,,
2,4,120,59,2,1,7.568056,98,0,,,,,,,,,,,,,,,,,
2,4,130,77,2,1,19.02417,340,0,,,,,,,,,,,,,,,,,
1,2,58,80,1,1,565.3494,222,0,,,,,,,,,,,,,,,,,
5,13,404,37,3,1,66.04528,364,3,,,,,,,,,,,,,,,,,
3,7,239,60,1,1,297.2328,159,1,,,,,,,,,,,,,,,,,
1,2,58,43,1,8,12.59417,168,0,,,,,,,,,,,,,,,,,
2,10,1717,17,3,1,181.3542,167,0,,,,,,,,,,,,,,,,,
2,6,146,644,3,8,256.4703,273,0,,,,,,,,,,,,,,,,,
